epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.7566,2.65417,7.70367,1.28537,0.00272,0.49206,0.00148,0.00031,2.63118,4.16396,1.06786,9e-05,9e-05,0.09109
2,2.94918,2.28315,3.15674,0.95673,0,0,0,0,2.08364,4.02859,0.97904,0.000188119,0.000188119,0.0811881
3,4.03079,2.13877,2.17633,0.97827,0,0,0,0,2.03141,4.15501,0.96654,0.000284258,0.000284258,0.0712843
4,5.1246,2.09723,1.764,1.00481,0,0,0,0,2.01589,4.34877,0.95044,0.000378417,0.000378417,0.0613784
5,6.26718,2.13955,1.52859,0.9756,0.87097,0.42857,0.41214,0.22819,1.98307,3.97726,0.96103,0.000470596,0.000470596,0.0514706
6,7.59719,1.99317,1.33684,0.93903,0.49495,0.77778,0.66467,0.21988,2.12489,3.4028,0.95535,0.000560795,0.000560795,0.0415608
7,8.69268,1.90978,1.22925,0.93202,0.47619,0.79365,0.68338,0.29666,2.02294,3.0258,0.97998,0.000649014,0.000649014,0.031649
8,9.82395,1.9635,1.21369,0.9255,0.37063,0.84127,0.74731,0.38507,1.80855,2.45868,0.94475,0.000735253,0.000735253,0.0217353
9,10.9589,1.8503,1.12967,0.90491,0.95382,0.65572,0.81994,0.38964,1.7959,1.81608,0.9348,0.000819512,0.000819512,0.0118195
10,12.0894,1.81927,1.08207,0.90723,1,0.78112,0.90385,0.40267,1.80935,1.34553,0.93719,0.000901791,0.000901791,0.00190179
11,13.1896,1.8356,1.05447,0.91053,0.96111,0.78458,0.89058,0.44521,1.81327,1.23338,0.94961,0.000901,0.000901,0.000901
12,14.3069,1.72169,1.03271,0.89512,0.93642,0.8254,0.90517,0.43719,1.68921,1.18447,0.92325,0.0008911,0.0008911,0.0008911
13,15.3819,1.77551,1.03643,0.92508,0.95939,0.79365,0.90373,0.46205,1.59424,0.9534,0.89601,0.0008812,0.0008812,0.0008812
14,16.6463,1.80662,1.00388,0.89748,0.96188,0.85714,0.92455,0.44705,1.60951,1.00378,0.88493,0.0008713,0.0008713,0.0008713
15,17.7302,1.73745,0.9726,0.91162,0.96243,0.8132,0.91267,0.48981,1.64987,0.9243,0.90239,0.0008614,0.0008614,0.0008614
