epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.451786,1.33378,2.78474,2.12492,0,0,0,0,4.34592,6.59293,5.11391,0,0,0.1
2,0.679279,2.139,2.76444,2.19037,0,0,0,0,4.34406,6.462,5.11156,9.901e-06,9.901e-06,0.0990099
3,0.899568,2.78889,3.24452,2.61776,0,0,0,0,4.38819,6.30056,5.11492,1.9604e-05,1.9604e-05,0.0980196
4,1.13747,2.99054,3.17403,3.82936,0.00333,1,0.01421,0.00284,3.11328,4.62977,2.72942,2.9109e-05,2.9109e-05,0.0970291
5,1.46953,2.45804,2.58981,2.83479,0.00333,1,0.02764,0.01106,1.54622,2.97098,1.75158,3.8416e-05,3.8416e-05,0.0960384
6,1.80801,2.38389,2.46326,2.12752,0.00333,1,0.05237,0.02367,1.03148,2.54993,1.65902,4.7525e-05,4.7525e-05,0.0950475
7,2.1297,2.16604,3.10546,2.42729,0.00333,1,0.05528,0.02132,1.03139,2.55075,1.63765,5.6436e-05,5.6436e-05,0.0940564
8,2.42282,1.94101,2.06999,2.26607,0.00333,1,0.04738,0.02042,0.84425,2.84546,1.43846,6.5149e-05,6.5149e-05,0.0930651
9,2.71607,1.48137,3.04623,2.04712,0.00926,1,0.04326,0.01817,1.04092,2.93319,1.5869,7.3664e-05,7.3664e-05,0.0920737
10,3.01173,2.66044,2.21324,2.88308,0.01087,1,0.02764,0.01367,1.33113,3.01474,1.68658,8.1981e-05,8.1981e-05,0.091082
11,3.30438,3.04573,3.9834,2.89289,0.01163,1,0.04975,0.02322,1.6956,2.84192,2.01618,9.01e-05,9.01e-05,0.0900901
12,3.59742,1.88476,2.72413,2.1486,0.01235,1,0.07654,0.03647,1.65529,2.97445,2.06642,9.8021e-05,9.8021e-05,0.089098
13,3.93376,1.97055,3.28457,2.20299,0.01282,1,0.12437,0.06601,1.61197,2.86998,2.01351,0.000105744,0.000105744,0.0881057
14,4.27469,1.14197,1.99262,1.96638,0.01316,1,0.995,0.60002,1.32388,2.74655,1.79897,0.000113269,0.000113269,0.0871133
15,4.61296,0.89711,2.02519,1.87562,0.01333,1,0.995,0.50994,0.93006,2.66137,1.60539,0.000120596,0.000120596,0.0861206
16,4.9133,1.29511,2.08275,1.80565,0.0137,1,0.995,0.4975,0.69801,2.76056,1.60924,0.000127725,0.000127725,0.0851277
17,5.22035,2.09047,2.3323,2.29662,0.01613,1,0.995,0.4975,0.7102,2.68131,1.63663,0.000134656,0.000134656,0.0841347
18,5.5075,2.35966,2.58781,2.26616,0.01613,1,0.995,0.4975,0.7102,2.68131,1.63663,0.000141389,0.000141389,0.0831414
19,5.80478,0.82326,1.79172,1.42747,0.01667,1,0.995,0.597,0.69681,2.65764,1.52529,0.000147924,0.000147924,0.0821479
20,6.08287,1.56646,2.09457,1.99627,0.01667,1,0.995,0.597,0.69681,2.65764,1.52529,0.000154261,0.000154261,0.0811543
21,6.3797,1.30964,2.27233,1.82018,0.01754,1,0.995,0.51961,0.71394,2.67864,1.36758,0.0001604,0.0001604,0.0801604
22,6.66195,1.66028,1.9427,2.06236,0.01754,1,0.995,0.51961,0.71394,2.67864,1.36758,0.000166341,0.000166341,0.0791663
23,6.95739,0.87965,1.71544,1.73563,0.01613,1,0.995,0.51961,0.71651,2.71328,1.32676,0.000172084,0.000172084,0.0781721
24,7.23212,2.22663,2.35701,2.35317,0.01613,1,0.995,0.51961,0.71651,2.71328,1.32676,0.000177629,0.000177629,0.0771776
25,7.54233,0.81463,1.65566,1.45785,0.01613,1,0.995,0.51961,0.68511,2.70752,1.28831,0.000182976,0.000182976,0.076183
26,7.82047,1.37286,2.38911,1.74745,0.01613,1,0.995,0.51961,0.68511,2.70752,1.28831,0.000188125,0.000188125,0.0751881
27,8.11483,1.48203,2.18667,1.7385,0.01562,1,0.995,0.597,0.65664,2.70937,1.27932,0.000193076,0.000193076,0.0741931
28,8.39079,1.8022,2.00761,2.85159,0.01562,1,0.995,0.597,0.65664,2.70937,1.27932,0.000197829,0.000197829,0.0731978
29,8.69247,0.7372,1.65998,1.65956,0.01299,1,0.995,0.597,0.67542,2.69753,1.20303,0.000202384,0.000202384,0.0722024
30,8.97739,1.22471,1.71706,1.70884,0.01299,1,0.995,0.597,0.67542,2.69753,1.20303,0.000206741,0.000206741,0.0712067
31,9.27023,2.18701,2.00005,2.44324,0.01235,1,0.995,0.6965,0.67503,2.68599,1.33682,0.0002109,0.0002109,0.0702109
32,9.57255,1.11408,1.58119,1.95977,0.01235,1,0.995,0.6965,0.67503,2.68599,1.33682,0.000214861,0.000214861,0.0692149
33,9.90144,1.44793,1.66692,2.03015,0.0119,1,0.995,0.8955,0.71667,2.63271,1.38277,0.000218624,0.000218624,0.0682186
34,10.2201,0.93714,2.07941,1.40199,0.0119,1,0.995,0.8955,0.71667,2.63271,1.38277,0.000222189,0.000222189,0.0672222
35,10.5646,1.12895,1.84026,1.94485,0.01149,1,0.995,0.796,0.72968,2.60623,1.34132,0.000225556,0.000225556,0.0662256
36,10.8405,1.67774,2.20282,2.23843,0.01149,1,0.995,0.796,0.72968,2.60623,1.34132,0.000228725,0.000228725,0.0652287
37,11.1633,2.15215,2.03929,2.38604,0.01031,1,0.995,0.5572,0.83411,2.66146,1.5321,0.000231696,0.000231696,0.0642317
38,11.44,1.55176,3.0522,2.35897,0.01031,1,0.995,0.5572,0.83411,2.66146,1.5321,0.000234469,0.000234469,0.0632345
39,11.7362,1.32727,1.71595,1.54307,0.01042,1,0.995,0.46433,0.80805,2.53805,1.54658,0.000237044,0.000237044,0.062237
40,12.019,1.5637,2.29498,1.87545,0.01042,1,0.995,0.46433,0.80805,2.53805,1.54658,0.000239421,0.000239421,0.0612394
41,12.3151,0.66785,1.16161,1.24354,0.01053,1,0.995,0.43117,0.86967,2.56138,1.53871,0.0002416,0.0002416,0.0602416
42,12.5916,1.60917,1.78485,1.92444,0.01053,1,0.995,0.43117,0.86967,2.56138,1.53871,0.000243581,0.000243581,0.0592436
43,12.8954,1.0568,1.36901,1.30811,0.01234,1,0.995,0.398,1.20674,2.77705,1.55398,0.000245364,0.000245364,0.0582454
44,13.1924,1.0004,1.63944,1.69956,0.01234,1,0.995,0.398,1.20674,2.77705,1.55398,0.000246949,0.000246949,0.0572469
45,13.4905,1.12473,1.62526,1.50682,0.0262,1,0.995,0.43117,1.54949,2.71902,1.63271,0.000248336,0.000248336,0.0562483
46,13.7667,1.17088,1.43289,1.70372,0.0262,1,0.995,0.43117,1.54949,2.71902,1.63271,0.000249525,0.000249525,0.0552495
47,14.0688,1.58888,2.2988,1.86055,0.05625,1,0.995,0.33167,1.92287,2.92677,2.01336,0.000250516,0.000250516,0.0542505
48,14.3477,1.83145,1.81468,2.17878,0.05625,1,0.995,0.33167,1.92287,2.92677,2.01336,0.000251309,0.000251309,0.0532513
49,14.6424,1.24481,1.79423,1.76681,0.15173,1,0.995,0.34825,2.67748,2.56734,2.76413,0.000251904,0.000251904,0.0522519
50,14.9205,0.76683,1.46626,1.17974,0.15173,1,0.995,0.34825,2.67748,2.56734,2.76413,0.000252301,0.000252301,0.0512523
51,15.2194,1.03155,1.4365,1.68057,0.00943,1,0.199,0.0597,3.00439,2.96714,3.84756,0.0002525,0.0002525,0.0502525
52,15.5039,1.3165,1.99891,1.59817,0.00943,1,0.199,0.0597,3.00439,2.96714,3.84756,0.000252501,0.000252501,0.0492525
53,15.7877,2.16615,2.46576,2.1921,0.00943,1,0.199,0.0597,3.00439,2.96714,3.84756,0.000252304,0.000252304,0.0482523
