epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,684.157,1.33826,3.64178,1.3247,0.59195,0.71641,0.70079,0.48514,1.13189,2.28692,1.13174,0.00999771,0.00333257,0.00999771,0.00333257,0.00999771,0.00333257,0.00999771,0.00333257
2,1304.45,1.06612,2.44367,1.16641,0.69603,0.72998,0.75864,0.56026,0.95406,1.65248,1.0684,0.0196018,0.00653392,0.0196018,0.00653392,0.0196018,0.00653392,0.0196018,0.00653392
3,1961.79,1.08504,2.45927,1.19534,0.70881,0.70904,0.7502,0.56046,0.91697,1.67307,1.06662,0.0288098,0.00960327,0.0288098,0.00960327,0.0288098,0.00960327,0.0288098,0.00960327
4,2578.74,1.06354,2.40015,1.19638,0.73818,0.74111,0.78115,0.61024,0.7735,1.47461,1.02325,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3168.95,0.98893,2.18779,1.15618,0.77566,0.78218,0.83498,0.68248,0.70192,1.30044,0.97458,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3756.07,0.93312,1.99955,1.129,0.80166,0.82069,0.86625,0.71719,0.68444,1.17373,0.97212,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4331.36,0.89191,1.85703,1.11171,0.8366,0.8338,0.8977,0.7405,0.69298,1.06046,0.97223,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,9140.79,0.86336,1.77409,1.09395,0.84718,0.85214,0.91407,0.77212,0.63173,0.981,0.93464,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,10155.8,0.83614,1.69509,1.08003,0.85741,0.87061,0.91945,0.77743,0.62015,0.93077,0.94352,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,11047.3,0.81243,1.60693,1.07002,0.88924,0.86938,0.93691,0.80127,0.59187,0.85209,0.92289,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,11949.8,0.78877,1.544,1.05813,0.89561,0.90201,0.95032,0.82118,0.56497,0.77495,0.92499,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,13211.5,0.77246,1.48082,1.052,0.89468,0.91494,0.95678,0.83089,0.55872,0.74778,0.90935,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,14573.1,0.76399,1.44744,1.04697,0.90562,0.92352,0.96177,0.83454,0.55997,0.7007,0.90267,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,15912.3,0.74247,1.39504,1.03701,0.92235,0.91713,0.96739,0.84866,0.53619,0.68869,0.90161,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,17263.4,0.73088,1.35456,1.03046,0.93025,0.92092,0.97104,0.85206,0.53236,0.64318,0.89368,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,18623.9,0.72477,1.32331,1.03067,0.92835,0.93725,0.97396,0.8622,0.51256,0.61708,0.89022,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,20020.4,0.71312,1.29221,1.0206,0.94115,0.93258,0.97499,0.86288,0.50782,0.60106,0.88282,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,21400.1,0.7027,1.26802,1.01694,0.95009,0.93736,0.97902,0.8675,0.50988,0.57954,0.87642,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,22772.2,0.69507,1.23557,1.01309,0.94419,0.94519,0.97806,0.87048,0.50149,0.56061,0.87831,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,24297.4,0.68232,1.21447,1.00954,0.93522,0.95526,0.97976,0.87797,0.48242,0.54313,0.87053,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,25694.5,0.67187,1.17122,1.00093,0.95125,0.95462,0.98335,0.88801,0.4596,0.50651,0.8592,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,27072.9,0.66638,1.16203,0.99971,0.95032,0.96289,0.9856,0.88975,0.46568,0.49371,0.86036,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
