                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6833,                 4.3649,                 1.4774,                0.33621,                0.09393,                0.11075,                0.06047,                 1.9162,                 4.0481,                 1.5479,               0.070044,              0.0033285,              0.0033285
                      1,                  1.597,                 2.0109,                 1.3436,                0.14098,                0.05367,                0.07881,                0.02867,                 2.1473,                 5.2444,                 2.0181,               0.039912,              0.0065299,              0.0065299
                      2,                    1.7,                 2.1148,                 1.4065,                0.13413,                0.10064,                0.11406,                 0.0584,                 2.1643,                 4.4195,                 1.9348,              0.0096477,              0.0095994,              0.0095994
                      3,                 1.7534,                 1.9847,                 1.5093,                0.12478,                0.08786,                0.10011,                 0.0505,                 2.1365,                 5.1607,                 1.9939,               0.009406,               0.009406,               0.009406
                      4,                 1.6767,                 1.7359,                 1.4491,                0.15428,                 0.0992,                0.11484,                0.06395,                 2.2483,                 5.4172,                 2.1637,               0.009406,               0.009406,               0.009406
                      5,                 1.6071,                 1.6089,                 1.3784,                0.15335,                 0.1262,                0.14279,                0.07958,                 1.8748,                 4.8729,                 1.7789,               0.009208,               0.009208,               0.009208
                      6,                 1.5409,                 1.5101,                 1.3251,                 0.1437,                0.11406,                0.12787,                0.07598,                 1.9699,                 5.3338,                 1.8382,                0.00901,                0.00901,                0.00901
                      7,                 1.4746,                 1.4152,                 1.2898,                0.17522,                0.10607,                0.12678,                0.07813,                 1.9525,                 5.4479,                 1.7185,               0.008812,               0.008812,               0.008812
                      8,                 1.4533,                 1.3469,                 1.2851,                0.17207,                0.12939,                0.15167,                0.09379,                  1.951,                 4.9375,                 1.7154,               0.008614,               0.008614,               0.008614
                      9,                  1.415,                  1.265,                 1.2798,                0.17232,                0.10939,                0.12822,                0.08071,                 1.8562,                  5.214,                 1.7605,               0.008416,               0.008416,               0.008416
                     10,                 1.3921,                 1.2258,                 1.2574,                0.16607,                0.12352,                0.14147,                0.08409,                 1.7843,                 5.1601,                 1.6091,               0.008218,               0.008218,               0.008218
                     11,                 1.3426,                 1.1522,                 1.2067,                0.18124,                0.10958,                0.13577,                0.08441,                 1.8166,                 5.4556,                 1.6373,                0.00802,                0.00802,                0.00802
                     12,                 1.3484,                 1.1354,                 1.2096,                0.17096,                0.12792,                0.14672,                0.09301,                 1.8447,                 5.1565,                 1.5856,               0.007822,               0.007822,               0.007822
                     13,                 1.3273,                 1.1238,                 1.1942,                0.18504,                0.11789,                0.13985,                0.08783,                 1.8673,                 5.1297,                 1.6458,               0.007624,               0.007624,               0.007624
                     14,                 1.3078,                 1.0523,                 1.1896,                 0.1848,                0.10767,                0.12328,                0.07824,                 1.9949,                 5.4425,                 1.7359,               0.007426,               0.007426,               0.007426
                     15,                 1.2712,                 1.0209,                 1.1712,                0.19073,                0.11172,                0.14012,                0.09798,                 2.1131,                 5.2959,                 1.6881,               0.007228,               0.007228,               0.007228
                     16,                 1.2585,                0.98895,                 1.1697,                 0.1864,                0.10949,                0.13249,                0.08965,                 1.9218,                 5.4977,                 1.6765,                0.00703,                0.00703,                0.00703
                     17,                 1.2578,                0.99485,                 1.1614,                0.19079,                0.10594,                0.12904,                0.08813,                 1.9575,                 5.5448,                 1.6894,               0.006832,               0.006832,               0.006832
                     18,                 1.2309,                0.96709,                 1.1492,                0.18659,                0.10666,                0.13488,                0.09594,                 1.9394,                 5.6232,                 1.7328,               0.006634,               0.006634,               0.006634
                     19,                 1.2199,                0.95529,                 1.1431,                0.19048,                  0.115,                0.14763,                0.10562,                 1.8608,                  5.304,                 1.6177,               0.006436,               0.006436,               0.006436
                     20,                  1.194,                0.94228,                 1.1153,                0.19145,                0.10727,                0.13899,                0.09854,                 1.9135,                 5.5152,                 1.6268,               0.006238,               0.006238,               0.006238
